id,name,folder_name,where_we_left,0-15,15-30,30-45,45-60,60-75,75-90,90-105,105-120,Respect for Tissue,Hemostasis,Instrument Handling,Economy of Movement,Flow,Overall,Date of Rating
12r7zfk5skZy84_s71BUHzbwdxmwW0Yv_,cut_VID_20220120_13.24.22.mp4_290.mp4,41012013-2,,,,,,,,,,,,,,,,
1KDyBZzrZrCkMN47QRqLqvqyxhJaejnLs,cut_VID_20220120_13.38.16.mp4_7586.mp4,41012013-2,,,,,,,,,,,,,,,,
10rU0-b8xKiTLAdHta4zuhhMut44Ii_UZ,cut_VID_20220121_19.36.42.mp4_4308.mp4,45012119-2,,,,,,,,,,,,,,,,
11OJi9BHzZqBEZrN-uysHRhOwisJ-_0kk,cut_VID_20220121_19.59.46.mp4_4046.mp4,45012119-2,,,,,,,,,,,,,,,,
11TdhRM5WJLJhX71YsppV8JZT3fjx4BAL,cut_VID_20220121_20.12.41.mp4_228.mp4,45012119-2,,,,,,,,,,,,,,,,
11_3cVCSEn7gezX6uXpNyT7jP4JEo3OM5,cut_VID_20220122_15.06.11_1st_trial.mp4_4134.mp4,46012215-3,,,,,,,,,,,,,,,,
12IgxEhfC8VlP43a8eSBYtat7nd6iBtbP,cut_VID_20220122_15.06.11_4th_trial.mp4_7270.mp4,46012215-3,,,,,,,,,,,,,,,,
14taNtMMEBavbynQR4K6Yh-VvjT3h-N9T,cut_VID_20220122_17.14.50.mp4_11118.mp4,47012217-3,,,,,,,,,,,,,,,,
12aqxkORii4Dex1kb3k0f4P_GRtxqRaaW,cut_VID_20220122_17.14.50.mp4_21918.mp4,47012217-3,,,,,,,,,,,,,,,,
1UIp3Nam-n8TWWAsJBT28UQihou-GT4Fi,cut_VID_20220122_17.14.50.mp4_3918.mp4,47012217-3,,,,,,,,,,,,,,,,
13edqkugyAOiw86sfuqKMZPC8kd3zEZCP,cut_VID_20220123_11.53.37.mp4_4656.mp4,48012311-2,,,,,,,,,,,,,,,,
14JcaKfmpFhJdFU2DjiL0v0hgK8qr-OFQ,cut_VID_20220123_12.16.15.mp4_7586.mp4,48012311-2,,,,,,,,,,,,,,,,
14Urv1XArUQVvsvVAFVJVTfJ6n1fdRYRF,cut_VID_20220123_12.27.32.mp4_3750.mp4,48012311-2,,,,,,,,,,,,,,,,
1-FKLmJJnomBj3kYnERS28y1Ilsa1XekQ,cut_VID_20220123_13.41.57.mp4_8096.mp4,49012313-1,,,,,,,,,,,,,,,,
10EjSezgHu_bH3A3PdVrg8jExhrq5x2AM,cut_VID_20220123_14.12.49.mp4_22166.mp4,49012313-1,,,,,,,,,,,,,,,,
10IWeYYQBt66arRKYj-Fk98yTPWUVxz_v,cut_VID_20220123_14.12.49.mp4_7766.mp4,49012313-1,,,,,,,,,,,,,,,,
1SZ3zkuOnY1E0-hH9LtHMEtC6cUpfI6Up,cut_VID_20220129_13.33.33.mp4_3862.mp4,54012913-1,,,,,,,,,,,,,,,,
1T33ccquAsh7N_zZMwq5iwIDpIqdp3XWL,cut_VID_20220129_14.16.56.mp4_642.mp4,54012913-1,,,,,,,,,,,,,,,,
17Fw8DdiZ2emNLdaANs_xzCykUwTFsY_Q,cut_VID_20220201_13.42.37.mp4_5028.mp4,55020113-2,,,,,,,,,,,,,,,,
17NlCB3UbVxaZQy9XF7alSDFPfhJXlMBj,cut_VID_20220201_14.20.00.mp4_1.mp4,55020113-2,,,,,,,,,,,,,,,,
181KeDbiDurhIw9jhYlzP6hFjQHi1n-LI,cut_VID_20220203_15.38.04.mp4_5396.mp4,56020315-2,,,,,,,,,,,,,,,,
18RJ3hyCuorYHmqz4MPVQtp5S66xsejUO,cut_VID_20220203_16.02.50.mp4_8246.mp4,56020315-2,,,,,,,,,,,,,,,,
19KNuyK0M2KirrrpPoag_reqJ_Tyc63TB,cut_VID_20220205_11.43.03.mp4_8420.mp4,57020511-2,,,,,,,,,,,,,,,,
19ZrIBbU3R3WJHA1OhakpqZeL_4_CIUIp,cut_VID_20220205_12.09.16.mp4_9006.mp4,57020511-2,,,,,,,,,,,,,,,,
1A8AFHaNgdpdNUPwHvetvkez3Ny5YQoxw,cut_VID_20220205_12.43.05.mp4_3608.mp4,57020511-2,,,,,,,,,,,,,,,,
1UKxeqVWiIDkgT1z7kY22ehjUY2ADon1m,cut_VID_20220207_11.46.59.mp4_3978.mp4,58020711-2,,,,,,,,,,,,,,,,
1VJ1Susba0G-Ea1mxQOcC90i3uuslCRv2,cut_VID_20220207_12.20.45.mp4_22384.mp4,58020711-2,,,,,,,,,,,,,,,,
1VKCT-bdZQWxl_b6sZY0Oit0UN0rTU_9P,cut_VID_20220207_12.20.45.mp4_7984.mp4,58020711-2,,,,,,,,,,,,,,,,
15eElmRyE4esNIFVACpteDp-SHmkZHoUD,cut_VID_20220208_09.25.38.mp4_930.mp4,59020809-1,,,,,,,,,,,,,,,,
16QqH3T-n-pbDSiU6bQCq9alGDmCxgera,cut_VID_20220208_10.12.33.mp4_14401.mp4,59020809-1,,,,,,,,,,,,,,,,
16ROsooeJJUX3L6aSMz0gS5lW2Vv2rE71,cut_VID_20220208_10.12.33.mp4_18001.mp4,59020809-1,,,,,,,,,,,,,,,,
1mk9aLE1L-OAg2mOf35wiuZNoBIhYcqON,cut_VID_20220210_19.14.32_4th_trial.mp4_170.mp4,60021019-3,,,,,,,,,,,,,,,,
1aqbVWNjJPEwJfUGZZsW2Kej3FjJXbyk9,cut_VID_20220210_20.12.30.mp4_15308.mp4,60021019-3,,,,,,,,,,,,,,,,
1MOccLozkJ5q4uJfbwk9zmIeuaojCDdHs,cut_VID_20220212_13.57.17_4th_trial.mp4_7540.mp4,63021213-3,,,,,,,,,,,,,,,,
1Vn3HjAtMDJqIQbdQqulCJonWaouKQwei,cut_VID_20220212_13.57.17_5th_trial.mp4_4110.mp4,63021213-3,,,,,,,,,,,,,,,,
1NvjheENGrGU9APhlHBXjNYV_nSkRoXVx,cut_VID_20220212_14.56.30.mp4_15224.mp4,63021213-3,,,,,,,,,,,,,,,,
1VhGiCHNm-LrddnF-uHkh9A45c-WhoP3S,cut_VID_20220215_19.11.34_1st_trial.mp4_7986.mp4,66021519-3,,,,,,,,,,,,,,,,
1VtDTgapyj67Fzr7GMRM7sXH3_DrHr9uy,cut_VID_20220215_19.11.34_2nd_trial.mp4_7626.mp4,66021519-3,,,,,,,,,,,,,,,,
1W6E6a0oHJhXnbCvWG2WECO0_YMK_oslL,cut_VID_20220215_19.11.34_5th_trial.mp4_7472.mp4,66021519-3,,,,,,,,,,,,,,,,
1CEchtGAAQHfr_a93EqpurAbqiC9AUQd_,cut_VID_20220217_18.23.37_3rd_trial.mp4_7304.mp4,67021718-3,,,,,,,,,,,,,,,,
1CUGt9zr7RiygtxLJBosCYbuvlLslEyPM,cut_VID_20220217_18.23.37_5th_trial.mp4_4242.mp4,67021718-3,,,,,,,,,,,,,,,,
1CcYf7xXYV6nlKjUaFq0iKs2xwpqP8VvL,cut_VID_20220218_15.26.31.mp4_568.mp4,68021815-1,,,,,,,,,,,,,,,,
1Dv6GOssuNez_zEPun1p-eEcrW6gad48z,cut_VID_20220218_16.19.23.mp4_22142.mp4,68021815-1,,,,,,,,,,,,,,,,
1E6FQi6MWU_kXpERP2oSy7lGmsgp1zTid,cut_VID_20220220_17.13.32_2nd_trial.mp4_348.mp4,69022017-3,,,,,,,,,,,,,,,,
1EgW3Lq1CjgpehWVQbO2r2cuqEgj20U0o,cut_VID_20220220_17.13.32_4th_trial.mp4_7534.mp4,69022017-3,,,,,,,,,,,,,,,,
1FHZougVWqmp8S29HIycP5NhklaEz0RHh,cut_VID_20220220_18.12.25.mp4_22038.mp4,69022017-3,,,,,,,,,,,,,,,,
1Aa3c6h47yGVpWlsJW1TXd88f20jj-DuL,cut_VID_20220220_18.56.29_3rd_trial.mp4_168.mp4,70022019-3,,,,,,,,,,,,,,,,
1BNjBK7olvtiUbsWvj2HPyF2tnk6GWB1J,cut_VID_20220220_18.56.29_5th_trial.mp4_7474.mp4,70022019-3,,,,,,,,,,,,,,,,
1D840yLjbfGVm2fGgDYidJkPfcnxHLstu,cut_VID_20220222_09.20.30.mp4_7770.mp4,72022209-1,,,,,,,,,,,,,,,,
1A99DXivk5N1tz0u7OhPgwozRX970eE1q,cut_VID_20220222_09.43.23.mp4_4930.mp4,72022209-1,,,,,,,,,,,,,,,,
1KgfKiEWr3y5npb953Dj42Xtek3LELr1_,cut_VID_20220222_11.36.02.mp4_7890.mp4,73022211-1,,,,,,,,,,,,,,,,
1KzheN__65-ivaMRIJb7nlvA2JuGofLxk,cut_VID_20220222_11.54.36.mp4_7634.mp4,73022211-1,,,,,,,,,,,,,,,,
1GRZ-BKuTZep8lD1_C0aE05YBDq5LGLNJ,cut_VID_20220222_14.00.32.mp4_8120.mp4,74022213-2,,,,,,,,,,,,,,,,
1Gyq7D5aW3s9Y02mzcmU5ASfmlLFMySg5,cut_VID_20220222_14.26.52.mp4_4744.mp4,74022213-2,,,,,,,,,,,,,,,,
1ciy4WA3aIwPGC7wkobpckCstis3l0Ex_,cut_VID_20220222_16.02.01.mp4_4216.mp4,75022215-2,,,,,,,,,,,,,,,,
1ctDKOFpM9ug5lJyTLxX58K3AvpISh-UZ,cut_VID_20220222_16.16.26.mp4_18678.mp4,75022215-2,,,,,,,,,,,,,,,,
1HADohCfY1FGQEcqsCNUs1N0GaVZa1SOh,cut_VID_20220227_11.55.03_1st_trial.mp4_4868.mp4,76022711-3,,,,,,,,,,,,,,,,
1HavQVMU08sFSSbtF0UrcsyWu9Ax4UJ2V,cut_VID_20220227_11.55.03_3rd_trial.mp4_280.mp4,76022711-3,,,,,,,,,,,,,,,,
1JV3XBZreTt7uuNXT6wbZdlvYMJXAw9O3,cut_VID_20220228_10.47.48.mp4_11772.mp4,77022809-1,,,,,,,,,,,,,,,,
1JtUkw9sdppexT3ssK2BJEmD-v_YGkDQr,cut_VID_20220228_10.47.48.mp4_22572.mp4,77022809-1,,,,,,,,,,,,,,,,
1Jt5uyk6dbF-ggJPer4OmOmdd89C5cYs5,cut_VID_20220228_10.47.48.mp4_4572.mp4,77022809-1,,,,,,,,,,,,,,,,
1X-8hQLn_h69K2cCiT22fpNrwi5QCHOzJ,cut_VID_20220301_09.26.51_1st_trial.mp4_4936.mp4,79030109-3,,,,,,,,,,,,,,,,
1X9zOk-_Grigc0a7551riAz87HpTePzB6,cut_VID_20220301_09.26.51_2nd_trial.mp4_3800.mp4,79030109-3,,,,,,,,,,,,,,,,
1XVl_JOjOnXA1pp-JI56qGiKLRdQzhHI1,cut_VID_20220301_10.27.46.mp4_15012.mp4,79030109-3,,,,,,,,,,,,,,,,
1zFAgfogKppaWJirltq1ivtRxrFzxlsus,cut_VID_20220302_11.54.24.mp4_572.mp4,82030211-2,,,,,,,,,,,,,,,,
1mvpK2t9dm5c9sCX8pc9u9_Rr2h8ev9GG,cut_VID_20220302_12.15.59.mp4_1148.mp4,82030211-2,,,,,,,,,,,,,,,,
157lEtS9DUAjIgkLBHV-VjuoneJrUN_2M,cut_VID_20220302_12.25.44.mp4_23340.mp4,82030211-2,,,,,,,,,,,,,,,,
